SAUID	IndicatorID	Unit	IndType	Bad	ModGood	High	ModGood2	Bad2	Obs	StdErr	ConfA	ConfT	ConfS	ConfM	BP	PM	GH	PM2	BP2	GH2	Err	OK	Sign	EQR	pGES	Conf	OOAO	ECID	EC	Weight	WeightConf
186	189	ug/l	1	8.3	3.15	8.3			7.37		0.5	1	0.5	1	6.58333333333333	4.86666666666667	5.725				Boundary values not monotonic	0	0			0.75	1	80	Phytoplankton - Coast	3.63084029960222e-05	3.63084029960222e-05
187	189	ug/l	1	3.9	1.9	3.9			4.95		0.5	0.5	0.5	1	3.23333333333333	2.56666666666667	2.9				Boundary values not monotonic	0	0			0.625	1	80	Phytoplankton - Coast	6.08411077230642e-05	6.08411077230642e-05
86	127		1	0	0.68	1			0.78		0.5	1	0.5	1	0.226666666666667	0.453333333333333	0.84					1	1	0.725		0.75	1	93	Macrofauna - Circalittoral mud	0.000109522126289823	0.000109522126289823
126	204	eqr	1	0	0.6	1			1.30434782608696		0.5	1	0.5	1	0.2	0.4	0.8					1	1	1		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.58642564904786e-06	1.58642564904786e-06
129	204	eqr	1	0	0.6	1			3		0.5	1	0.5	1	0.2	0.4	0.8					1	1	1		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.02236319605307e-05	1.02236319605307e-05
131	204	eqr	1	0	0.6	1			1.76470588235294		0.5	1	0.5	1	0.2	0.4	0.8					1	1	1		0.75	1	95	Macrophytes - Infralittoral coarse sediment	6.28694609067116e-06	6.28694609067116e-06
133	204	eqr	1	0	0.6	1			2		0.5	1	0.5	1	0.2	0.4	0.8					1	1	1		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.5746743479438e-05	1.5746743479438e-05
195	204	eqr	1	0	0.6	1			0.72		0.5	1	0.5	1	0.2	0.4	0.8					1	1	0.72		0.75	1	95	Macrophytes - Infralittoral coarse sediment	3.79331999639e-05	3.79331999639e-05
196	204	eqr	1	0	0.6	1			0.74		0.5	1	0.5	1	0.2	0.4	0.8					1	1	0.74		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.896659998195e-05	1.896659998195e-05
197	204	eqr	1	0	0.6	1			0.76		0.5	1	0.5	1	0.2	0.4	0.8					1	1	0.76		0.75	1	95	Macrophytes - Infralittoral coarse sediment	3.79331999639e-05	3.79331999639e-05
170	212	mg/l	1	0	4.2	6			4.74		0.5	1	0.5	1	1.4	2.8	5.1					1	1	0.72		0.75	1	93	Macrofauna - Circalittoral mud	3.60630759487517e-05	3.60630759487517e-05
175	212	mg/l	1	0	4.2	6			7.74		0.5	1	0.5	1	1.4	2.8	5.1					1	1	1		0.75	1	93	Macrofauna - Circalittoral mud	1.2266352363521e-06	1.2266352363521e-06
177	212	mg/l	1	0	4.2	6			8.1		0.5	1	0.5	1	1.4	2.8	5.1					1	1	1		0.75	1	93	Macrofauna - Circalittoral mud	3.04205538615321e-05	3.04205538615321e-05
181	212	mg/l	1	0	4.2	6			7.71		0.5	1	0.5	1	1.4	2.8	5.1					1	1	1		0.75	1	93	Macrofauna - Circalittoral mud	4.80841012650023e-05	4.80841012650023e-05
183	212	mg/l	1	0	4.2	6			7.88		0.5	1	0.5	1	1.4	2.8	5.1					1	1	1		0.75	1	93	Macrofauna - Circalittoral mud	1.2266352363521e-05	1.2266352363521e-05
186	212	mg/l	1	0	4.2	6			7.91		0.5	1	0.5	1	1.4	2.8	5.1					1	1	1		0.75	1	93	Macrofauna - Circalittoral mud	1.81542014980111e-05	1.81542014980111e-05
187	212	mg/l	1	0	4.2	6			7.07		0.5	1	0.5	1	1.4	2.8	5.1					1	1	1		0.75	1	93	Macrofauna - Circalittoral mud	3.04205538615321e-05	3.04205538615321e-05
195	214	eqr	1	0	0.7	1			0.563		0.5	1	0.5	1	0.233333333333333	0.466666666666667	0.85					1	1	0.482571428571429		0.75	1	95	Macrophytes - Infralittoral coarse sediment	3.79331999639e-05	3.79331999639e-05
196	214	eqr	1	0	0.7	1			0.676		0.5	1	0.5	1	0.233333333333333	0.466666666666667	0.85					1	1	0.579428571428572		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.896659998195e-05	1.896659998195e-05
197	214	eqr	1	0	0.7	1			0.602		0.5	1	0.5	1	0.233333333333333	0.466666666666667	0.85					1	1	0.516		0.75	1	95	Macrophytes - Infralittoral coarse sediment	3.79331999639e-05	3.79331999639e-05
126	214	m	1	0	2.63	3.5			1.33		0.5	1	0.5	1	0.876666666666667	1.75333333333333	3.065					1	1	0.303422053231939		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.58642564904786e-06	1.58642564904786e-06
129	214	m	1	0	2.37	3.2			0.52		0.5	1	0.5	1	0.79	1.58	2.785					1	1	0.131645569620253		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.02236319605307e-05	1.02236319605307e-05
130	214	m	1	0	1.9	2.5			0.5		0.5	1	0.5	1	0.633333333333333	1.26666666666667	2.2					1	1	0.157894736842105		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.02236319605307e-05	1.02236319605307e-05
131	214	m	1	0	3.64	5			2.25		0.5	1	0.5	1	1.21333333333333	2.42666666666667	4.32					1	1	0.370879120879121		0.75	1	95	Macrophytes - Infralittoral coarse sediment	6.28694609067116e-06	6.28694609067116e-06
132	214	m	1	0	2.82	5			1.72		0.5	1	0.5	1	0.94	1.88	3.91					1	1	0.365957446808511		0.75	1	95	Macrophytes - Infralittoral coarse sediment	6.34570259619145e-06	6.34570259619145e-06
133	214	m	1	0	2.82	3.8			0.59		0.5	1	0.5	1	0.94	1.88	3.31					1	1	0.125531914893617		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.5746743479438e-05	1.5746743479438e-05
170	214	m	1	0.1	1.9	2.5			1.12		0.5	1	0.5	1	0.7	1.3	2.2					1	1	0.34		0.75	1	95	Macrophytes - Infralittoral coarse sediment	7.21261518975035e-05	7.21261518975035e-05
175	214	m	1	0	4.5	6			2.9		0.5	1	0.5	1	1.5	3	5.25					1	1	0.386666666666667		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.2266352363521e-06	1.2266352363521e-06
177	214	m	1	0	3.75	5			1.5		0.5	1	0.5	1	1.25	2.5	4.375					1	1	0.24		0.75	1	95	Macrophytes - Infralittoral coarse sediment	3.04205538615321e-05	3.04205538615321e-05
181	214	m	1	0	5.6	7.5			3.65		0.5	1	0.5	1	1.86666666666667	3.73333333333333	6.55					1	1	0.391071428571429		0.75	1	95	Macrophytes - Infralittoral coarse sediment	4.80841012650023e-05	4.80841012650023e-05
183	214	m	1	0	5.6	7.5			4		0.5	1	0.5	1	1.86666666666667	3.73333333333333	6.55					1	1	0.428571428571429		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.2266352363521e-05	1.2266352363521e-05
186	214	m	1	0.2	3.8	5			2.53		0.5	1	0.5	1	1.4	2.6	4.4					1	1	0.388333333333333		0.75	1	95	Macrophytes - Infralittoral coarse sediment	1.81542014980111e-05	1.81542014980111e-05
187	214	m	1	0	5.6	7.5			3.32		0.5	1	0.5	1	1.86666666666667	3.73333333333333	6.55					1	1	0.355714285714286		0.75	1	95	Macrophytes - Infralittoral coarse sediment	3.04205538615321e-05	3.04205538615321e-05
126	127	eqr	1	0	0.6	1			0.56		0.5	1	0.5	1	0.2	0.4	0.8					1	1	0.56		0.75	1	93	Macrofauna - Circalittoral mud	3.17285129809572e-06	3.17285129809572e-06
130	127	eqr	1	0	0.6	1			0.19		0.5	1	0.5	1	0.2	0.4	0.8					1	1	0.19		0.75	1	93	Macrofauna - Circalittoral mud	1.02236319605307e-05	1.02236319605307e-05
131	127	eqr	1	0	0.6	1			0.55		0.5	1	0.5	1	0.2	0.4	0.8					1	1	0.55		0.75	1	93	Macrofauna - Circalittoral mud	1.25738921813423e-05	1.25738921813423e-05
132	127	eqr	1	0	0.6	1			0.41		0.5	1	0.5	1	0.2	0.4	0.8					1	1	0.41		0.75	1	93	Macrofauna - Circalittoral mud	6.34570259619145e-06	6.34570259619145e-06
133	127	eqr	1	0	0.6	1			0.23		0.5	1	0.5	1	0.2	0.4	0.8					1	1	0.23		0.75	1	93	Macrofauna - Circalittoral mud	3.14934869588761e-05	3.14934869588761e-05
170	127		1	1.91	2.7	3.72			2.91		0.5	1	0.5	1	2.17333333333333	2.43666666666667	3.21					1	1	0.682352941176471		0.75	1	93	Macrofauna - Circalittoral mud	3.60630759487517e-05	3.60630759487517e-05
100	127		1	0.13	0.56	0.74			0.47		0.5	1	0.5	1	0.273333333333333	0.416666666666667	0.65					1	1	0.474418604651163		0.75	1	93	Macrofauna - Circalittoral mud	7.52997260745599e-05	7.52997260745599e-05
101	127		1	0.13	0.62	0.74			0.56		0.5	1	0.5	1	0.293333333333333	0.456666666666667	0.68					1	1	0.526530612244898		0.75	1	93	Macrofauna - Circalittoral mud	0.00015059945214912	0.00015059945214912
102	127		1	0.13	0.42	0.74			0.35		0.5	1	0.5	1	0.226666666666667	0.323333333333333	0.58					1	1	0.455172413793103		0.75	1	93	Macrofauna - Circalittoral mud	0.00015059945214912	0.00015059945214912
103	127		1	0.12	0.57	0.65			0.37		0.5	1	0.5	1	0.27	0.42	0.61					1	1	0.333333333333333		0.75	1	93	Macrofauna - Circalittoral mud	0.000301198904298239	0.000301198904298239
