SAUID;IndicatorID;'Unit';IndType;Bad;ModGood;High;ModGood2;Bad2;Obs;StdErr;ConfA;ConfT;ConfS;ConfM
191;189;'eqr';1;0;0.57;1.6;;;0.75;;0.5;0.5;0.5;1
192;189;'eqr';1;0;0.67;1;;;0.88;;0.5;0.5;0.5;1
193;189;'eqr';1;0;0.67;1;;;0.75;;0.5;0.5;0.5;1
214;189;'eqr';1;0;0.67;1.8;;;0.36;;0.5;0.5;0.5;1
78;127;'';1;0;0.68;1;;;0.65;;0.5;0.5;0.5;1
80;127;'';1;0;0.68;1;;;0.67;;0.5;0.5;0.5;1
82;127;'';1;0;0.68;1;;;0.64;;0.5;0.5;0.5;1
84;127;'';1;0;0.68;1;;;0.73;;0.5;0.5;0.5;1
87;127;'';1;0;0.68;1;;;0.44;;0.5;0.5;0.5;1
89;127;'';1;0;0.68;1;;;0.61;;0.5;1;0.5;1
90;127;'';1;0;0.68;1;;;0.49;;0.5;1;0.5;1
91;127;'';1;0;0.68;1;;;0.71;;0.5;1;0.5;1
191;204;'eqr';1;0;0.6;1;;;0.7;;0.5;1;0.5;1
192;204;'eqr';1;0;0.6;1;;;0.9;;0.5;1;0.5;1
193;204;'eqr';1;0;0.6;1;;;0.87;;0.5;1;0.5;1
191;214;'eqr';1;0;0.69;1;;;0.63;;0.5;1;0.5;1
192;214;'eqr';1;0;0.76;1;;;0.662;;0.5;1;0.5;1
193;214;'eqr';1;0;0.76;1;;;0.655;;0.5;1;0.5;1
214;214;'eqr';1;0;0.67;1;;;0.56;;0.5;1;0.5;1
